Province,Latitude,Longitude
Bengo,-8.355942345055256,14.04261675303358
Benguela,-12.953333644438775,13.961828736291556
Bié,-12.314559118967487,17.337495756292686
Cabinda,-5.033399647644343,12.477454068458785
Cuando,-16.63420516134547,20.896010598592408
Cuanza Norte,-8.958717540670614,15.029712849132267
Cuanza Sul,-10.826611284384914,15.030844765097417
Cubango,-15.653562060369097,18.292102115382217
Cunene,-16.503239440549915,15.57218133792875
Huambo,-12.56230837303762,15.740762042472515
Huíla,-14.739571935261571,14.941618546461406
Luanda,-8.98820579987837,13.296537700042526
Lunda Norte,-8.622344698258317,19.5285086193885
Lunda Sul,-10.203239343991651,20.65125289359884
Malanje,-9.508835307224084,16.97887116715102
Moxico,-13.379289261627328,20.188948880387443
Moxico Leste,-12.02676261419599,22.502697831292718
Namibe,-15.50789980867697,12.703026103271881
Uíge,-7.030396549076283,15.470168530503772
Zaire,-6.612599968344984,13.552444001372384
Ícolo e Bengo,-9.706813064604468,13.829654626886304
